body_tool,0.044117,0.002778,0.080997,0.265009,-0.027499,0.873117,-0.408267
pol_body,0.189954,-0.053500,-0.867299,-0.161880,-0.001219,0.829525,0.534491
pol_tool,0.149035,-0.001700,-0.802825,-0.229481,-0.346972,-0.132780,0.899621
body_tool,0.044121,0.002699,0.081101,0.265618,-0.027078,0.872980,-0.408191
pol_body,0.189899,-0.053549,-0.867419,-0.161510,-0.001035,0.829525,0.534604
pol_tool,0.149085,-0.001692,-0.802793,-0.229486,-0.347278,-0.132742,0.899508
body_tool,0.044098,0.002714,0.081085,0.265584,-0.027318,0.872969,-0.408221
pol_body,0.189899,-0.053549,-0.867419,-0.161510,-0.001035,0.829525,0.534604
pol_tool,0.149084,-0.001722,-0.802805,-0.229671,-0.347120,-0.132750,0.899520
body_tool,0.044192,0.002732,0.081279,0.266434,-0.027535,0.872877,-0.407848
pol_body,0.189872,-0.053569,-0.867677,-0.160540,-0.000917,0.829917,0.534289
pol_tool,0.149028,-0.001717,-0.802793,-0.229880,-0.346912,-0.132554,0.899576
body_tool,0.044263,0.002754,0.081203,0.266049,-0.027454,0.873025,-0.407789
pol_body,0.189872,-0.053569,-0.867677,-0.160540,-0.000917,0.829917,0.534289
pol_tool,0.149002,-0.001677,-0.802888,-0.229598,-0.346659,-0.132668,0.899729
body_tool,0.044111,0.002697,0.081139,0.265653,-0.027666,0.872930,-0.408236
pol_body,0.189941,-0.053584,-0.867419,-0.161672,-0.001072,0.829601,0.534437
pol_tool,0.149086,-0.001734,-0.802775,-0.229991,-0.347166,-0.132611,0.899441
body_tool,0.044176,0.002736,0.081060,0.265635,-0.027475,0.872917,-0.408288
pol_body,0.189923,-0.053588,-0.867361,-0.161528,-0.001150,0.829525,0.534598
pol_tool,0.149055,-0.001719,-0.802793,-0.229745,-0.347133,-0.132718,0.899501
body_tool,0.044062,0.002800,0.081195,0.265332,-0.027230,0.873050,-0.408217
pol_body,0.189915,-0.053575,-0.867491,-0.161519,-0.000518,0.829607,0.534475
pol_tool,0.149039,-0.001745,-0.802802,-0.229886,-0.346793,-0.132499,0.899628
body_tool,0.044142,0.002770,0.081044,0.265984,-0.027814,0.872799,-0.408289
pol_body,0.189994,-0.053508,-0.867380,-0.161290,-0.001414,0.829622,0.534519
pol_tool,0.149106,-0.001741,-0.802784,-0.229868,-0.347150,-0.132665,0.899471
body_tool,0.044160,0.002798,0.081143,0.266292,-0.027409,0.872864,-0.407977
pol_body,0.189898,-0.053504,-0.867547,-0.160721,-0.001015,0.829769,0.534463
pol_tool,0.149036,-0.001717,-0.802812,-0.229751,-0.347014,-0.132663,0.899554
body_tool,0.044064,0.002754,0.081022,0.265453,-0.027427,0.873011,-0.408208
pol_body,0.189935,-0.053467,-0.867293,-0.161767,-0.001088,0.829563,0.534467
pol_tool,0.149070,-0.001695,-0.802768,-0.229713,-0.347220,-0.132687,0.899480
body_tool,0.044141,0.002750,0.081058,0.265431,-0.027595,0.872938,-0.408368
pol_body,0.189960,-0.053543,-0.867350,-0.161662,-0.001139,0.829529,0.534552
pol_tool,0.149076,-0.001702,-0.802795,-0.229801,-0.347018,-0.132641,0.899542
body_tool,0.044189,0.002755,0.081040,0.265947,-0.027384,0.872830,-0.408276
pol_body,0.189869,-0.053497,-0.867439,-0.160920,-0.001230,0.829622,0.534632
pol_tool,0.149042,-0.001682,-0.802817,-0.229529,-0.346953,-0.132662,0.899634
body_tool,0.044119,0.002781,0.081019,0.265503,-0.027449,0.872922,-0.408364
pol_body,0.189910,-0.053453,-0.867376,-0.161380,-0.001238,0.829553,0.534599
pol_tool,0.149042,-0.001682,-0.802817,-0.229529,-0.346953,-0.132662,0.899634
body_tool,0.044107,0.002805,0.080994,0.265054,-0.027695,0.872900,-0.408688
pol_body,0.190028,-0.053591,-0.867211,-0.162191,-0.001115,0.829349,0.534670
pol_tool,0.149087,-0.001762,-0.802784,-0.229997,-0.347047,-0.132556,0.899493
body_tool,0.044091,0.002736,0.080998,0.266005,-0.028051,0.872675,-0.408525
pol_body,0.189916,-0.053476,-0.867366,-0.161268,-0.001557,0.829581,0.534589
pol_tool,0.149087,-0.001762,-0.802784,-0.229997,-0.347047,-0.132556,0.899493
body_tool,0.044178,0.002717,0.080894,0.265943,-0.027661,0.872838,-0.408245
pol_body,0.189885,-0.053417,-0.867307,-0.161073,-0.001784,0.829615,0.534595
pol_tool,0.149068,-0.001676,-0.802809,-0.229320,-0.347161,-0.132858,0.899578
body_tool,0.044112,0.002778,0.081142,0.265404,-0.026912,0.873171,-0.407932
pol_body,0.189955,-0.053511,-0.867455,-0.161502,-0.000853,0.829598,0.534494
pol_tool,0.149068,-0.001676,-0.802809,-0.229320,-0.347161,-0.132858,0.899578
body_tool,0.044180,0.002757,0.080931,0.264925,-0.027671,0.873047,-0.408458
pol_body,0.189974,-0.053500,-0.867222,-0.161971,-0.001494,0.829446,0.534586
